epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
23,2020-06-03,1,PI,Acauã,2200053,city,1,14.11632,1,0,0,0.0,7084,True,False
23,2020-06-03,42,PI,Água Branca,2200202,city,108,620.29751,1,7,0,0.0648,17411,True,False
23,2020-06-03,7,PI,Alagoinha do Piauí,2200251,city,1,13.07019,0,0,0,0.0,7651,True,False
23,2020-06-03,23,PI,Alto Longá,2200301,city,11,76.90157,0,0,0,0.0,14304,True,False
23,2020-06-03,50,PI,Altos,2200400,city,73,180.14016,5,4,2,0.0548,40524,True,False
23,2020-06-03,41,PI,Alvorada do Gurguéia,2200459,city,1,18.45359,0,0,0,0.0,5419,True,False
23,2020-06-03,33,PI,Amarante,2200509,city,8,45.45971,0,0,0,0.0,17598,True,False
23,2020-06-03,47,PI,Angical do Piauí,2200608,city,9,132.58692,0,1,0,0.1111,6788,True,False
23,2020-06-03,40,PI,Anísio de Abreu,2200707,city,17,172.06478,0,0,0,0.0,9880,True,False
23,2020-06-03,36,PI,Aroazes,2200905,city,1,17.13796,0,0,0,0.0,5835,True,False
23,2020-06-03,17,PI,Avelino Lopes,2201101,city,2,17.71636,0,0,0,0.0,11289,True,False
23,2020-06-03,28,PI,Baixa Grande do Ribeiro,2201150,city,18,155.35992,1,1,0,0.0556,11586,True,False
23,2020-06-03,38,PI,Barras,2201200,city,199,422.81052,5,2,0,0.0101,47066,True,False
23,2020-06-03,12,PI,Barreiras do Piauí,2201309,city,1,29.86858,0,0,0,0.0,3348,True,False
23,2020-06-03,10,PI,Barro Duro,2201408,city,26,369.73834,5,0,0,0.0,7032,True,False
23,2020-06-03,31,PI,Batalha,2201507,city,72,268.08653,2,2,0,0.0278,26857,True,False
23,2020-06-03,20,PI,Bela Vista do Piauí,2201556,city,1,24.9066,0,0,0,0.0,4015,True,False
23,2020-06-03,16,PI,Belém do Piauí,2201572,city,6,168.25575,0,1,0,0.1667,3566,True,False
23,2020-06-03,31,PI,Beneditinos,2201606,city,2,19.10767,0,0,0,0.0,10467,True,False
23,2020-06-03,32,PI,Bertolínia,2201705,city,4,72.71405,0,0,0,0.0,5501,True,False
23,2020-06-03,45,PI,Betânia do Piauí,2201739,city,1,16.11604,0,0,0,0.0,6205,True,False
23,2020-06-03,36,PI,Boa Hora,2201770,city,4,58.98835,1,0,0,0.0,6781,True,False
23,2020-06-03,13,PI,Bocaina,2201804,city,4,88.88889,0,0,0,0.0,4500,True,False
23,2020-06-03,41,PI,Bom Jesus,2201903,city,73,289.92414,5,0,0,0.0,25179,True,False
23,2020-06-03,48,PI,Bom Princípio do Piauí,2201919,city,1,17.76199,0,1,0,1.0,5630,True,False
23,2020-06-03,50,PI,Bonfim do Piauí,2201929,city,1,17.63668,0,0,0,0.0,5670,True,False
23,2020-06-03,9,PI,Brasileira,2201960,city,4,48.02497,0,0,0,0.0,8329,True,False
23,2020-06-03,39,PI,Buriti dos Lopes,2202000,city,28,141.54997,3,2,0,0.0714,19781,True,False
23,2020-06-03,15,PI,Buriti dos Montes,2202026,city,3,36.3901,0,1,0,0.3333,8244,True,False
23,2020-06-03,16,PI,Cabeceiras do Piauí,2202059,city,2,18.89288,0,0,0,0.0,10586,True,False
