Dias,Confirmados,Óbitos,Novos por Dia,,Semana,Conf/Semana,Obt/Semana,Novos/Semana,,Novos/Dia
18/03,0,,0,,12,4,0,4,,143
19/03,3,,3,,13,11,1,7,,
20/03,4,,1,,14,24,4,13,,
21/03,4,,0,,15,47,7,23,,
22/03,6,,2,,16,144,10,97,,
23/03,6,,0,,17,331,18,187,,
24/03,8,,2,,18,742,28,411,,
25/03,8,,0,,19,1278,42,536,,
26/03,9,,1,,20,2252,72,974,,
27/03,9,0,0,,21,3390,107,1138,,
28/03,11,1,2,,22,4931,161,1541,,
29/03,16,3,5,,23,7478,239,2547,,
30/03,18,4,2,,24,7621,254,143,,
31/03,18,4,0,,,,,,,
01/04,19,4,1,,,,,,,
02/04,19,4,0,,,,,,,
03/04,22,4,3,,,,,,,
04/04,24,4,2,,,,,,,
05/04,24,4,0,,,,,,,
06/04,26,4,2,,,,,,,
07/04,31,5,5,,,,,,,
08/04,38,6,7,,,,,,,
09/04,40,7,2,,,,,,,
10/04,41,7,1,,,,,,,
11/04,47,7,6,,,,,,,
12/04,51,7,4,,,,,,,
13/04,58,8,7,,,,,,,
14/04,75,8,17,,,,,,,
15/04,91,8,16,,,,,,,
16/04,102,8,11,,,,,,,
17/04,123,9,21,,,,,,,
18/04,144,10,21,,,,,,,
19/04,158,12,14,,,,,,,
20/04,186,14,28,,,,,,,
21/04,206,15,20,,,,,,,
22/04,217,15,11,,,,,,,
23/04,263,16,46,,,,,,,
24/04,297,17,34,,,,,,,
25/04,331,18,34,,,,,,,
26/04,364,20,33,,,,,,,
27/04,408,21,44,,,,,,,
28/04,454,24,46,,,,,,,
29/04,513,24,59,,,,,,,
30/04,600,24,87,,,,,,,
01/05,665,26,65,,,,,,,
02/05,742,28,77,,,,,,,
03/05,784,28,42,,,,,,,
04/05,875,29,91,,,,,,,
05/05,949,30,74,,,,,,,
06/05,1051,35,102,,,,,,,
07/05,1131,37,80,,,,,,,
08/05,1233,38,102,,,,,,,
09/05,1278,42,45,,,,,,,
10/05,1332,45,54,,,,,,,
11/05,1443,49,111,,,,,,,
12/05,1612,57,169,,,,,,,
13/05,1784,60,172,,,,,,,
14/05,1905,60,121,,,,,,,
15/05,2085,65,180,,,,,,,
16/05,2252,72,167,,,,,,,
17/05,2287,80,35,,,,,,,
18/05,2440,85,153,,,,,,,
19/05,2637,87,197,,,,,,,
20/05,2852,91,215,,,,,,,
21/05,3074,93,222,,,,,,,
22/05,3258,99,184,,,,,,,
23/05,3390,107,132,,,,,,,
24/05,3550,110,160,,,,,,,
25/05,3720,119,170,,,,,,,
26/05,3966,134,246,,,,,,,
27/05,4243,138,277,,,,,,,
28/05,4503,146,260,,,,,,,
29/05,4745,157,242,,,,,,,
30/05,4931,161,186,,,,,,,
31/05,5119,168,188,,,,,,,
01/06,5506,180,387,,,,,,,
02/06,5828,192,322,,,,,,,
03/06,6064,202,236,,,,,,,
04/06,6717,217,653,,,,,,,
05/06,7105,224,388,,,,,,,
06/06,7478,239,373,,,,,,,
07/06,7621,254,143,,,,,,,
