City,Zipcode
Água Branca,64460000
Altos,64290000
Alvorada do Gurguéia,64923000
Angical do Piauí,64410000
Anísio de Abreu,64780000
Betânia do Piauí,64753000
Bom Jesus,64900000
Bom Princípio do Piauí,64225000
Bonfim do Piauí,64775000
Buriti dos Lopes,64230000
Campo Maior,64280000
Canto do Buriti,64890000
Caracol,64795000
Castelo do Piauí,64340000
Colônia do Gurguéia,64516000
Demerval Lobão,64390000
Elesbão Veloso,64325000
Esperantina,64180000
Floriano,64800000
Francinópolis,64520000
Ilha Grande,64224000
Inhuma,64535000
Itaueira,64820000
José de Freitas,64110000
Lagoa do Barro do Piauí,64768000
Luís Correia,64220000
Luzilândia,64160000
Manoel Emídio,64875000
Miguel Alves,64130000
Nazária,64415000
Oeiras,64500000
Parnaíba,64200000
Pedro II,64255000
Picos,64600000
Pimenteiras,64320000
Piracuruca,64240000
Piripiri,64260000
Ribeira do Piauí,64725000
Rio Grande do Piauí,64835000
São Francisco do Piauí,64550000
São José do Divino,64245000
São José do Piauí,64625000
São Raimundo Nonato,64770000
Teresina,64000000
União,64120000
Várzea Grande,64525000
