id,Município,Confirmados,Óbitos,Incidência,População,CEP,,QTDE MUN,QTDE MUN OBT,CONF,OBT
1,ACAUA,1,0,"1,41",7084,64748000,,,,,
2,AGUA BRANCA,108,7,"62,03",17411,64460000,,163,54,6064,202
3,ALAGOINHA DO PIAUI,1,0,"1,31",7651,64555000,,,,,
4,ALTO LONGA,11,0,"7,69",14304,64360000,,,,,
5,ALTOS,73,4,"18,01",40524,64290000,,,,,
6,ALVORADA DO GURGUEIA,1,0,"1,85",5419,64923000,,,,,
7,AMARANTE,8,0,"4,55",17598,64400000,,,,,
8,ANGICAL DO PIAUI,9,1,"13,26",6788,64410000,,,,,
9,ANISIO DE ABREU,17,0,"17,21",9880,64780000,,,,,
10,AROAZES,1,0,"1,71",5835,64310000,,,,,
11,AVELINO LOPES,2,0,"1,77",11289,64965000,,,,,
12,BAIXA GRANDE DO RIBEIRO,18,1,"15,54",11586,64868000,,,,,
13,BARRAS,199,2,"42,28",47066,64100000,,,,,
14,BARREIRAS DO PIAUI,1,0,"2,99",3348,69990000,,,,,
15,BARRO DURO,26,0,"36,97",7032,64455000,,,,,
16,BATALHA,72,2,"26,81",26857,64190000,,,,,
17,BELA VISTA DO PIAUI,1,0,"2,49",4015,64705000,,,,,
18,BELEM DO PIAUI,6,1,"16,83",3566,64678000,,,,,
19,BENEDITINOS,2,0,"1,91",10467,64380000,,,,,
20,BERTOLINIA,4,0,"7,27",5501,64870000,,,,,
21,BETANIA DO PIAUI,1,0,"1,61",6205,64753000,,,,,
22,BOA HORA,4,0,"5,90",6781,64108000,,,,,
23,BOCAINA,4,0,"8,89",4500,64630000,,,,,
24,BOM JESUS,73,0,"28,99",25179,64900000,,,,,
25,BOM PRINCIPIO DO PIAUI,1,1,"1,78",5630,64225000,,,,,
26,BONFIM DO PIAUI,1,0,"1,76",5670,64775000,,,,,
27,BRASILEIRA,4,0,"4,80",8329,64265000,,,,,
28,BURITI DOS LOPES,28,2,"14,15",19781,64230000,,,,,
29,BURITI DOS MONTES,3,1,"3,64",8244,64345000,,,,,
30,CABECEIRAS DO PIAUI,2,0,"1,89",10586,64105000,,,,,
31,CAJAZEIRAS DO PIAUI,1,0,"2,81",3559,64514000,,,,,
32,CAJUEIRO DA PRAIA,1,0,"1,31",7642,64222000,,,,,
33,CALDEIRAO GRANDE DO PIAUI,3,0,"5,95",5045,64767000,,,,,
34,CAMPINAS DO PIAUI,2,0,"3,56",5613,64730000,,,,,
35,CAMPO ALEGRE DO FIDALGO,1,0,"1,73",5776,64695000,,,,,
36,CAMPO GRANDE DO PIAUI,19,0,"31,97",5943,64578000,,,,,
37,CAMPO LARGO DO PIAUI,1,0,"1,37",7279,64148000,,,,,
38,CAMPO MAIOR,178,4,"38,01",46833,64280000,,,,,
39,CANTO DO BURITI,4,1,"1,89",21187,64890000,,,,,
40,CAPITAO GERVASIO OLIVEIRA,2,0,"4,88",4100,64763000,,,,,
41,CARACOL,2,0,"1,83",10916,64795000,,,,,
42,CARAUBAS DO PIAUI,3,0,"5,11",5868,64233000,,,,,
43,CASTELO DO PIAUI,10,0,"5,07",19716,64340000,,,,,
44,CAXINGO,3,0,"5,53",5424,64228000,,,,,
45,COCAL,17,1,"6,12",27787,64235000,,,,,
46,COCAL DE TELHA,26,0,"53,16",4891,64278000,,,,,
47,COCAL DOS ALVES,2,0,"3,25",6153,64238000,,,,,
48,COIVARAS,3,0,"7,46",4020,64335000,,,,,
49,COLONIA DO GURGUEIA,4,1,"6,17",6484,64516000,,,,,
50,COLONIA DO PIAUI,3,0,"3,92",7656,64516000,,,,,
51,CORRENTE,24,0,"9,01",26644,64980000,,,,,
52,CRISTINO CASTRO,1,1,"0,96",10423,64920000,,,,,
53,CURIMATA,8,0,"7,02",11388,64960000,,,,,
54,CURRAL NOVO DO PIAUI,1,0,"1,87",5343,64595000,,,,,
55,CURRALINHOS,3,0,"6,75",4443,64453000,,,,,
56,DEMERVAL LOBAO,86,1,"62,24",13817,64390000,,,,,
57,DIRCEU ARCOVERDE,27,0,"38,51",7011,64785000,,,,,
58,DOM EXPEDITO LOPES,13,0,"18,83",6904,64620000,,,,,
59,DOM INOCENCIO,2,0,"2,09",9556,64790000,,,,,
60,DOMINGOS MOURAO,1,0,"2,30",4355,64250000,,,,,
61,ELESBAO VELOSO,28,1,"19,18",14602,64325000,,,,,
62,ESPERANTINA,167,2,"42,03",39737,64180000,,,,,
63,FARTURA DO PIAUI,3,0,"5,65",5307,64788000,,,,,
64,FLORIANO,83,3,"13,85",59935,64800000,,,,,
65,FRANCINOPOLIS,9,0,"16,83",5348,64520000,,,,,
66,FRANCISCO AYRES,2,0,"4,60",4348,64475000,,,,,
67,FRANCISCO SANTOS,3,0,"3,22",9319,64645000,,,,,
68,FRONTEIRAS,8,0,"6,88",11625,64690000,,,,,
69,GILBUES,4,0,"3,74",10690,64930000,,,,,
70,GUADALUPE,1,0,"0,95",10499,64840000,,,,,
71,HUGO NAPOLEAO,3,0,"7,74",3877,64470000,,,,,
72,ILHA GRANDE,5,1,"5,30",9426,64224000,,,,,
73,INHUMA,7,1,"4,57",15308,64535000,,,,,
74,IPIRANGA DO PIAUI,1,0,"1,02",9811,64540000,,,,,
75,ISAIAS COELHO,4,0,"4,68",8549,64570000,,,,,
76,ITAINOPOLIS,4,0,"3,47",11530,64565000,,,,,
77,ITAUEIRA,1,1,"0,91",11019,64820000,,,,,
78,JAICOS,1,0,"0,52",19104,64575000,,,,,
79,JERUMENHA,1,0,"2,25",4452,64830000,,,,,
80,JOAQUIM PIRES,6,0,"4,18",14354,64170000,,,,,
81,JOSE DE FREITAS,36,2,"9,18",39208,64110000,,,,,
82,JUAZEIRO DO PIAUI,9,0,"16,43",5478,64343000,,,,,
83,JULIO BORGES,4,2,"7,11",5627,64963000,,,,,
84,LAGOA DE SAO FRANCISCO,1,0,"1,48",6758,64258000,,,,,
85,LAGOA DO BARRO DO PIAUI,8,0,"17,19",4655,64768000,,,,,
86,LAGOA DO PIAUI,22,1,"54,13",4064,64388000,,,,,
87,LAGOA DO SITIO,2,0,"3,86",5177,64308000,,,,,
88,LANDRI SALES,4,0,"7,55",5295,64850000,,,,,
89,LUIS CORREIA,59,2,"19,46",30311,64220000,,,,,
90,LUZILANDIA,32,1,"12,56",25486,64160000,,,,,
91,MADEIRO,5,1,"6,02",8310,64168000,,,,,
92,MANOEL EMIDIO,1,1,"1,87",5349,64875000,,,,,
