,CIDADE,VALOR,BENEFICIARIOS
0,ACAUA,1802400.0,2784
1,AGRICOLANDIA,1465200.0,2175
2,AGUA BRANCA,4321200.0,6079
3,ALAGOINHA DO PIAUI,2043600.0,2999
4,ALEGRETE DO PIAUI,1430400.0,1914
5,ALTO LONGA,3584400.0,5195
6,ALTOS,9979800.0,13970
7,ALVORADA DO GURGUEIA,1436400.0,2133
8,AMARANTE,4621800.0,6549
9,ANGICAL DO PIAUI,2079600.0,2846
10,ANISIO DE ABREU,2410800.0,3528
11,ANTONIO ALMEIDA,745800.0,1110
12,AROAZES,1673400.0,2336
13,AROEIRAS DO ITAIM,735600.0,1048
14,ARRAIAL,1230600.0,1822
15,ASSUNCAO DO PIAUI,2022600.0,3075
16,AVELINO LOPES,3337200.0,4952
17,BAIXA GRANDE DO RIBEIRO,3222600.0,4061
18,BARRA D'ALCANTARA,1099200.0,1603
19,BARRAS,14026800.0,19103
20,BARREIRAS DO PIAUI,1034400.0,1460
21,BARRO DURO,1971600.0,2571
22,BATALHA,7096800.0,10282
23,BELA VISTA DO PIAUI,1045800.0,1677
24,BELEM DO PIAUI,957000.0,1397
25,BENEDITINOS,2796000.0,4219
26,BERTOLINIA,1529400.0,2108
27,BETANIA DO PIAUI,1866000.0,2875
28,BOA HORA,2064000.0,2962
29,BOCAINA,970200.0,1474
30,BOM JESUS,6992400.0,9393
31,BOM PRINCIPIO DO PIAUI,1709400.0,2590
32,BONFIM DO PIAUI,1613400.0,2475
33,BOQUEIRAO DO PIAUI,1752000.0,2561
34,BRASILEIRA,2185800.0,2977
35,BREJO DO PIAUI,1164600.0,1747
36,BURITI DOS LOPES,5614200.0,7886
37,BURITI DOS MONTES,2064000.0,3141
38,CABECEIRAS DO PIAUI,2647800.0,3768
39,CAJAZEIRAS DO PIAUI,792600.0,1191
40,CAJUEIRO DA PRAIA,1810800.0,2746
41,CALDEIRAO GRANDE DO PIAUI,1536000.0,2324
42,CAMPINAS DO PIAUI,1566000.0,2309
43,CAMPO ALEGRE DO FIDALGO,1470600.0,2158
44,CAMPO GRANDE DO PIAUI,1699800.0,2494
45,CAMPO LARGO DO PIAUI,2113200.0,3081
46,CAMPO MAIOR,11813400.0,16807
47,CANAVIEIRA,965400.0,1377
48,CANTO DO BURITI,5342400.0,7625
49,CAPITAO DE CAMPOS,3202800.0,4712
50,CAPITAO GERVASIO OLIVEIRA,1341600.0,1963
51,CARACOL,2830200.0,4182
52,CARAUBAS DO PIAUI,1618800.0,2368
53,CARIDADE DO PIAUI,1695600.0,2432
54,CASTELO DO PIAUI,5085000.0,7388
55,CAXINGO,1482600.0,2253
56,COCAL,7592400.0,11425
57,COCAL DE TELHA,1527600.0,2073
58,COCAL DOS ALVES,1790400.0,2794
59,COIVARAS,1177800.0,1740
60,COLONIA DO GURGUEIA,2008200.0,2761
61,COLONIA DO PIAUI,2075400.0,2953
62,CONCEICAO DO CANINDE,1431000.0,2043
63,CORONEL JOSE DIAS,1338600.0,1963
64,CORRENTE,6389400.0,9086
65,CRISTALANDIA DO PIAUI,1774200.0,2626
66,CRISTINO CASTRO,2830800.0,3990
67,CURIMATA,2746800.0,4166
68,CURRAIS,1492800.0,2015
69,CURRALINHOS,1220400.0,1797
70,CURRAL NOVO DO PIAUI,1431600.0,2146
71,DEMERVAL LOBAO,4377600.0,5832
72,DIRCEU ARCOVERDE,1856400.0,2713
73,DOM EXPEDITO LOPES,1696800.0,2564
74,DOMINGOS MOURAO,1180800.0,1741
75,DOM INOCENCIO,2425800.0,3586
76,ELESBAO VELOSO,3154800.0,4660
77,ELISEU MARTINS,1159200.0,1700
78,ESPERANTINA,10930200.0,14855
79,FARTURA DO PIAUI,1579200.0,2314
80,FLORES DO PIAUI,1204200.0,1752
81,FLORESTA DO PIAUI,699600.0,1041
82,FLORIANO,12151800.0,16782
83,FRANCINOPOLIS,1162200.0,1715
84,FRANCISCO AYRES,1056600.0,1552
85,FRANCISCO MACEDO,771000.0,1130
86,FRANCISCO SANTOS,1964400.0,2975
87,FRONTEIRAS,2985600.0,4286
88,GEMINIANO,1729200.0,2413
89,GILBUES,2706000.0,3752
90,GUADALUPE,2650200.0,3633
91,GUARIBAS,1318200.0,1953
92,HUGO NAPOLEAO,1038600.0,1437
93,ILHA GRANDE,2480400.0,3552
94,INHUMA,3879600.0,5612
95,IPIRANGA DO PIAUI,2517000.0,3655
96,ISAIAS COELHO,2299200.0,3289
97,ITAINOPOLIS,2889000.0,4350
98,ITAUEIRA,2542800.0,3921
99,JACOBINA DO PIAUI,1666800.0,2410
100,JAICOS,4822200.0,7008
101,JARDIM DO MULATO,1200600.0,1713
102,JATOBA DO PIAUI,1394400.0,2068
103,JERUMENHA,1401000.0,1993
104,JOAO COSTA,849600.0,1284
105,JOAQUIM PIRES,3747000.0,5641
106,JOCA MARQUES,1488000.0,2212
107,JOSE DE FREITAS,10626600.0,15072
108,JUAZEIRO DO PIAUI,1491000.0,2188
