,CIDADE,VALOR,BENEFICIARIOS
0,ACAUA,262311.0,1366
1,AGRICOLANDIA,216328.0,928
2,AGUA BRANCA,491899.0,2466
3,ALAGOINHA DO PIAUI,275991.0,1547
4,ALEGRETE DO PIAUI,184287.0,872
5,ALTO LONGA,452512.0,2589
6,ALTOS,655247.0,4242
7,ALVORADA DO GURGUEIA,277477.0,960
8,AMARANTE,830521.0,3224
9,ANGICAL DO PIAUI,307224.0,1665
10,ANISIO DE ABREU,259622.0,1683
11,ANTONIO ALMEIDA,132371.0,506
12,AROAZES,268566.0,1083
13,AROEIRAS DO ITAIM,77043.0,499
14,ARRAIAL,183776.0,854
15,ASSUNCAO DO PIAUI,269900.0,1296
16,AVELINO LOPES,650139.0,2527
17,BAIXA GRANDE DO RIBEIRO,455204.0,1930
18,BARRA D'ALCANTARA,194360.0,832
19,BARRAS,2424331.0,9307
20,BARREIRAS DO PIAUI,199237.0,768
21,BARRO DURO,207975.0,1403
22,BATALHA,1171562.0,4804
23,BELA VISTA DO PIAUI,139334.0,677
24,BELEM DO PIAUI,145766.0,689
25,BENEDITINOS,494792.0,1920
26,BERTOLINIA,255161.0,1022
27,BETANIA DO PIAUI,292438.0,1341
28,BOA HORA,453186.0,1705
29,BOCAINA,142083.0,684
30,BOM JESUS,773798.0,3762
31,BOM PRINCIPIO DO PIAUI,150967.0,1016
32,BONFIM DO PIAUI,243402.0,1069
33,BOQUEIRAO DO PIAUI,277694.0,1152
34,BRASILEIRA,275915.0,1320
35,BREJO DO PIAUI,263551.0,940
36,BURITI DOS LOPES,973081.0,3659
37,BURITI DOS MONTES,378106.0,1487
38,CABECEIRAS DO PIAUI,466541.0,1796
39,CAJAZEIRAS DO PIAUI,88035.0,450
40,CAJUEIRO DA PRAIA,134385.0,915
41,CALDEIRAO GRANDE DO PIAUI,260384.0,1070
42,CAMPINAS DO PIAUI,253671.0,1187
43,CAMPO ALEGRE DO FIDALGO,282741.0,1190
44,CAMPO GRANDE DO PIAUI,254303.0,1103
45,CAMPO LARGO DO PIAUI,484463.0,1740
46,CAMPO MAIOR,1028349.0,5874
47,CANAVIEIRA,190707.0,726
48,CANTO DO BURITI,752562.0,3921
49,CAPITAO DE CAMPOS,438144.0,1985
50,CAPITAO GERVASIO OLIVEIRA,276643.0,1108
51,CARACOL,581213.0,2093
52,CARAUBAS DO PIAUI,193857.0,1169
53,CARIDADE DO PIAUI,219853.0,1204
54,CASTELO DO PIAUI,729100.0,3004
55,CAXINGO,225072.0,973
56,COCAL,971631.0,4898
57,COCAL DE TELHA,225443.0,1021
58,COCAL DOS ALVES,266465.0,1198
59,COIVARAS,158691.0,745
60,COLONIA DO GURGUEIA,310180.0,1374
61,COLONIA DO PIAUI,296624.0,1409
62,CONCEICAO DO CANINDE,214728.0,1018
63,CORONEL JOSE DIAS,247113.0,976
64,CORRENTE,726998.0,3662
65,CRISTALANDIA DO PIAUI,340015.0,1308
66,CRISTINO CASTRO,515088.0,1816
67,CURIMATA,496530.0,1773
68,CURRAIS,199643.0,941
