,nome,confirmados,obitos,incidencia,populacao
0,ACAUA,38,0,53.64,7084
1,AGRICOLANDIA,56,0,108.97,5139
2,AGUA BRANCA,915,36,525.53,17411
3,ALAGOINHA DO PIAUI,94,1,122.86,7651
4,ALEGRETE DO PIAUI,123,0,250.25,4915
5,ALTO LONGA,146,5,102.07,14304
6,ALTOS,1327,19,327.46,40524
7,ALVORADA DO GURGUEIA,42,2,77.51,5419
8,AMARANTE,318,6,180.7,17598
9,ANGICAL DO PIAUI,94,3,138.48,6788
10,ANISIO DE ABREU,96,0,97.17,9880
11,ANTONIO ALMEIDA,209,1,660.56,3164
12,AROAZES,52,3,89.12,5835
13,AROEIRAS DO ITAIM,66,1,258.72,2551
14,ARRAIAL,14,0,29.62,4727
15,ASSUNCAO DO PIAUI,127,1,161.87,7846
16,AVELINO LOPES,29,3,25.69,11289
17,BAIXA GRANDE DO RIBEIRO,1098,9,947.7,11586
18,BARRA D'ALCANTARA,10,1,25.31,3951
19,BARRAS,2514,53,534.14,47066
20,BARREIRAS DO PIAUI,26,0,77.66,3348
21,BARRO DURO,399,6,567.41,7032
22,BATALHA,400,8,148.94,26857
23,BELA VISTA DO PIAUI,32,0,79.7,4015
24,BELEM DO PIAUI,91,2,255.19,3566
25,BENEDITINOS,244,8,233.11,10467
26,BERTOLINIA,312,4,567.17,5501
27,BETANIA DO PIAUI,28,1,45.12,6205
28,BOA HORA,93,0,137.15,6781
29,BOCAINA,102,0,226.67,4500
30,BOM JESUS,1137,12,451.57,25179
31,BOM PRINCIPIO DO PIAUI,41,3,72.82,5630
32,BONFIM DO PIAUI,68,1,119.93,5670
33,BOQUEIRAO DO PIAUI,137,1,213.83,6407
34,BRASILEIRA,107,1,128.47,8329
35,BREJO DO PIAUI,11,0,28.39,3875
36,BURITI DOS LOPES,717,12,362.47,19781
37,BURITI DOS MONTES,27,1,32.75,8244
38,CABECEIRAS DO PIAUI,207,4,195.54,10586
39,CAJAZEIRAS DO PIAUI,7,0,19.67,3559
40,CAJUEIRO DA PRAIA,291,8,380.79,7642
41,CALDEIRAO GRANDE DO PIAUI,126,0,249.75,5045
42,CAMPINAS DO PIAUI,34,1,60.57,5613
43,CAMPO ALEGRE DO FIDALGO,13,1,22.51,5776
44,CAMPO GRANDE DO PIAUI,102,1,171.63,5943
45,CAMPO LARGO DO PIAUI,193,4,265.15,7279
46,CAMPO MAIOR,2209,42,471.68,46833
47,CANAVIEIRA,4,0,10.13,3950
48,CANTO DO BURITI,289,6,136.4,21187
49,CAPITAO DE CAMPOS,170,1,148.9,11417
50,CAPITAO GERVASIO OLIVEIRA,20,1,48.78,4100
51,CARACOL,162,3,148.41,10916
52,CARAUBAS DO PIAUI,160,3,272.67,5868
53,CARIDADE DO PIAUI,32,0,63.15,5067
54,CASTELO DO PIAUI,120,4,60.86,19716
55,CAXINGO,106,0,195.43,5424
56,COCAL,684,16,246.16,27787
57,COCAL DE TELHA,80,3,163.57,4891
58,COCAL DOS ALVES,162,4,263.29,6153
59,COIVARAS,101,1,251.24,4020
60,COLONIA DO GURGUEIA,47,2,72.49,6484
61,COLONIA DO PIAUI,56,1,73.15,7656
62,CONCEICAO DO CANINDE,17,1,35.39,4803
63,CORONEL JOSE DIAS,24,1,51.26,4682
64,CORRENTE,297,3,111.47,26644
65,CRISTALANDIA DO PIAUI,11,0,13.26,8294
66,CRISTINO CASTRO,95,1,91.14,10423
67,CURIMATA,166,1,145.77,11388
68,CURRAIS,144,1,290.67,4954
69,CURRAL NOVO DO PIAUI,52,0,97.32,5343
70,CURRALINHOS,160,0,360.12,4443
71,DEMERVAL LOBAO,1002,3,725.19,13817
72,DIRCEU ARCOVERDE,92,1,131.22,7011
73,DOM EXPEDITO LOPES,80,2,115.87,6904
74,DOM INOCENCIO,55,1,57.56,9556
75,DOMINGOS MOURAO,15,0,34.44,4355
76,ELESBAO VELOSO,294,8,201.34,14602
77,ELISEU MARTINS,16,2,32.55,4915
78,ESPERANTINA,988,27,248.63,39737
79,FARTURA DO PIAUI,32,1,60.3,5307
80,FLORES DO PIAUI,12,1,26.89,4463
81,FLORESTA DO PIAUI,59,2,230.65,2558
82,FLORIANO,2146,29,358.05,59935
83,FRANCINOPOLIS,34,0,63.58,5348
84,FRANCISCO AYRES,23,0,52.9,4348
85,FRANCISCO MACEDO,121,1,380.03,3184
86,FRANCISCO SANTOS,63,0,67.6,9319
87,FRONTEIRAS,154,1,132.47,11625
88,GEMINIANO,68,2,124.95,5442
89,GILBUES,121,1,113.19,10690
90,GUADALUPE,80,1,76.2,10499
91,GUARIBAS,13,0,28.5,4562
92,HUGO NAPOLEAO,289,2,745.42,3877
93,ILHA GRANDE,252,4,267.35,9426
94,INHUMA,196,2,128.04,15308
95,IPIRANGA DO PIAUI,147,1,149.83,9811
96,ISAIAS COELHO,103,1,120.48,8549
97,ITAINOPOLIS,53,1,45.97,11530
98,ITAUEIRA,29,2,26.32,11019
99,JACOBINA DO PIAUI,11,0,19.16,5741
100,JAICOS,100,7,52.35,19104
101,JARDIM DO MULATO,14,0,31.08,4504
102,JATOBA DO PIAUI,46,1,94.55,4865
103,JERUMENHA,100,1,224.62,4452
104,JOAO COSTA,18,0,59.84,3008
105,JOAQUIM PIRES,733,8,510.66,14354
106,JOCA MARQUES,327,1,600.77,5443
107,JOSE DE FREITAS,1112,17,283.62,39208
108,JUAZEIRO DO PIAUI,66,0,120.48,5478
109,JULIO BORGES,12,2,21.33,5627
110,JUREMA,17,1,35.69,4763
111,LAGOA ALEGRE,191,5,223.6,8542
112,LAGOA DE SAO FRANCISCO,55,2,81.39,6758
113,LAGOA DO BARRO DO PIAUI,317,1,680.99,4655
114,LAGOA DO PIAUI,276,2,679.13,4064
115,LAGOA DO SITIO,24,3,46.36,5177
116,LAGOINHA DO PIAUI,140,2,492.09,2845
117,LANDRI SALES,22,1,41.55,5295
118,LUIS CORREIA,351,13,115.8,30311
119,LUZILANDIA,1559,26,611.71,25486
120,MADEIRO,365,2,439.23,8310
121,MANOEL EMIDIO,119,5,222.47,5349
122,MARCOLANDIA,267,6,314.41,8492
123,MARCOS PARENTE,52,1,114.31,4549
124,MASSAPE DO PIAUI,4,0,6.21,6441
125,MATIAS OLIMPIO,343,5,313.64,10936
126,MIGUEL ALVES,1021,12,302.43,33760
127,MIGUEL LEAO,30,0,240.77,1246
128,MILTON BRANDAO,13,0,19.66,6613
129,MONSENHOR GIL,481,8,455.32,10564
130,MONSENHOR HIPOLITO,144,2,185.83,7749
131,MONTE ALEGRE DO PIAUI,181,4,170.55,10613
132,MORRO CABECA NO TEMPO,19,0,41.92,4532
133,MORRO DO CHAPEU DO PIAUI,340,2,500.29,6796
134,MURICI DOS PORTELAS,70,3,76.43,9159
135,NAZARE DO PIAUI,69,2,94.02,7339
136,NAZARIA,97,7,113.19,8570
137,NOSSA SENHORA DE NAZARE,43,4,88.3,4870
138,NOSSA SENHORA DOS REMEDIOS,457,8,525.77,8692
139,NOVA SANTA RITA,29,1,66.3,4374
140,NOVO ORIENTE DO PIAUI,46,2,70.07,6565
141,NOVO SANTO ANTONIO,60,0,200.6,2991
142,OEIRAS,1328,14,358.64,37029
143,OLHO D'AGUA DO PIAUI,79,2,321.27,2459
144,PADRE MARCOS,83,2,120.85,6868
145,PAES LANDIM,19,1,46.02,4129
146,PAJEU DO PIAUI,6,1,17.7,3389
147,PALMEIRA DO PIAUI,73,2,144.76,5043
148,PALMEIRAIS,193,4,132.75,14539
149,PAQUETA,37,0,93.79,3945
150,PARNAGUA,62,1,57.46,10791
151,PARNAIBA,6454,134,421.62,153078
152,PASSAGEM FRANCA DO PIAUI,172,3,398.79,4313
153,PATOS DO PIAUI,43,0,67.27,6392
154,PAU D'ARCO DO PIAUI,100,0,247.22,4045
155,PAULISTANA,93,1,45.32,20523
156,PAVUSSU,59,1,160.46,3677
157,PEDRO II,348,10,89.82,38742
158,PEDRO LAURENTINO,13,1,51.26,2536
159,PICOS,3085,59,394.39,78222
160,PIMENTEIRAS,175,1,144.31,12127
161,PIO IX,170,2,92.27,18425
162,PIRACURUCA,421,12,146.23,28791
163,PIRIPIRI,2079,31,326.16,63742
164,PORTO,480,11,381.92,12568
165,PORTO ALEGRE DO PIAUI,130,1,479.7,2710
166,PRATA DO PIAUI,24,0,76.17,3151
167,QUEIMADA NOVA,176,2,195.73,8992
168,REDENCAO DO GURGUEIA,120,5,136.71,8778
169,REGENERACAO,144,3,80.1,17978
170,RIACHO FRIO,1,0,2.32,4312
171,RIBEIRA DO PIAUI,7,0,15.64,4477
172,RIBEIRO GONCALVES,292,5,397.77,7341
173,RIO GRANDE DO PIAUI,64,1,99.5,6432
174,SANTA CRUZ DO PIAUI,481,7,770.83,6240
175,SANTA CRUZ DOS MILAGRES,20,0,49.76,4019
176,SANTA FILOMENA,34,2,54.37,6253
177,SANTA LUZ,90,2,153.58,5860
178,SANTA ROSA DO PIAUI,33,1,62.77,5257
179,SANTANA DO PIAUI,16,0,34.53,4634
180,SANTO ANTONIO DE LISBOA,13,0,20.27,6415
181,SANTO ANTONIO DOS MILAGRES,52,1,240.63,2161
182,SANTO INACIO DO PIAUI,63,2,165.88,3798
183,SAO BRAZ DO PIAUI,13,0,29.23,4448
184,SAO FELIX DO PIAUI,26,1,88.38,2942
185,SAO FRANCISCO DE ASSIS DO PIAUI,14,0,24.33,5755
186,SAO FRANCISCO DO PIAUI,13,2,20.24,6423
187,SAO GONCALO DO GURGUEIA,20,2,65.77,3041
188,SAO GONCALO DO PIAUI,73,2,145.56,5015
189,SAO JOAO DA CANABRAVA,54,2,117.19,4608
190,SAO JOAO DA FRONTEIRA,83,0,137.37,6042
191,SAO JOAO DA SERRA,127,5,206.87,6139
192,SAO JOAO DA VARJOTA,43,2,88.84,4840
193,SAO JOAO DO ARRAIAL,254,1,317.94,7989
194,SAO JOAO DO PIAUI,239,2,116.01,20601
195,SAO JOSE DO DIVINO,50,6,93.53,5346
196,SAO JOSE DO PEIXE,20,0,53.4,3745
197,SAO JOSE DO PIAUI,37,0,55.18,6705
198,SAO JULIAO,82,1,128.87,6363
199,SAO LOURENCO DO PIAUI,5,0,10.93,4573
200,SAO LUIS DO PIAUI,29,0,109.68,2644
201,SAO MIGUEL DA BAIXA GRANDE,5,0,20.39,2452
202,SAO MIGUEL DO FIDALGO,2,0,6.58,3039
203,SAO MIGUEL DO TAPUIO,155,3,87.76,17662
204,SAO PEDRO DO PIAUI,363,5,254.01,14291
205,SAO RAIMUNDO NONATO,1071,7,308.56,34710
206,SEBASTIAO BARROS,4,1,11.53,3469
207,SEBASTIAO LEAL,130,0,302.75,4294
208,SIGEFREDO PACHECO,101,1,100.59,10041
209,SIMOES,216,1,147.61,14633
210,SIMPLICIO MENDES,157,1,123.52,12711
211,SOCORRO DO PIAUI,25,1,54.72,4569
212,SUSSUAPARA,174,3,258.54,6730
213,TAMBORIL DO PIAUI,12,0,41.11,2919
214,TANQUE DO PIAUI,9,0,32.55,2765
215,TERESINA,28332,958,327.6,864845
216,UNIAO,832,26,187.03,44485
217,URUCUI,1534,22,711.57,21558
218,VALENCA DO PIAUI,573,9,273.93,20918
219,VARZEA BRANCA,29,2,58.62,4947
220,VARZEA GRANDE,33,0,75.15,4391
221,VERA MENDES,19,0,61.75,3077
222,VILA NOVA DO PIAUI,55,0,185.12,2971
223,WALL FERRAZ,234,1,524.43,4462
