MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC,POP
ACAUA,262311.0,1366,1802400.0,2784,15675.0,16,38,0,53.64,7084
AGRICOLANDIA,216328.0,928,1465200.0,2175,89870.0,87,56,0,108.97,5139
AGUA BRANCA,491899.0,2466,4321200.0,6079,722095.0,692,915,36,525.53,17411
ALAGOINHA DO PIAUI,275991.0,1547,2043600.0,2999,114950.0,111,94,1,122.86,7651
ALEGRETE DO PIAUI,184287.0,872,1430400.0,1914,43890.0,43,123,0,250.25,4915
ALTO LONGA,452512.0,2589,3584400.0,5195,113905.0,110,146,5,102.07,14304
ALTOS,655247.0,4242,9979800.0,13970,1274900.0,1220,1327,19,327.46,40524
ALVORADA DO GURGUEIA,277477.0,960,1436400.0,2133,33440.0,33,42,2,77.51,5419
AMARANTE,830521.0,3224,4621800.0,6549,702240.61,670,318,6,180.7,17598
ANGICAL DO PIAUI,307224.0,1665,2079600.0,2846,175560.0,169,94,3,138.48,6788
ANISIO DE ABREU,259622.0,1683,2410800.0,3528,115995.0,112,96,0,97.17,9880
ANTONIO ALMEIDA,132371.0,506,745800.0,1110,15675.0,16,209,1,660.56,3164
AROAZES,268566.0,1083,1673400.0,2336,33440.0,33,52,3,89.12,5835
AROEIRAS DO ITAIM,77043.0,499,735600.0,1048,2090.0,3,66,1,258.72,2551
ARRAIAL,183776.0,854,1230600.0,1822,19855.0,20,14,0,29.62,4727
ASSUNCAO DO PIAUI,269900.0,1296,2022600.0,3075,24035.5,24,127,1,161.87,7846
AVELINO LOPES,650139.0,2527,3337200.0,4952,229900.0,221,29,3,25.69,11289
BAIXA GRANDE DO RIBEIRO,455204.0,1930,3222600.0,4061,36575.0,36,1098,9,947.7,11586
BARRA D'ALCANTARA,194360.0,832,1099200.0,1603,20900.0,21,10,1,25.31,3951
BARRAS,2424331.0,9307,14026800.0,19103,1530925.0,1466,2514,53,534.14,47066
BARREIRAS DO PIAUI,199237.0,768,1034400.0,1460,33440.0,33,26,0,77.66,3348
BARRO DURO,207975.0,1403,1971600.0,2571,110770.0,106,399,6,567.41,7032
BATALHA,1171562.0,4804,7096800.0,10282,512050.0,490,400,8,148.94,26857
BELA VISTA DO PIAUI,139334.0,677,1045800.0,1677,6270.0,7,32,0,79.7,4015
BELEM DO PIAUI,145766.0,689,957000.0,1397,19855.0,20,91,2,255.19,3566
BENEDITINOS,494792.0,1920,2796000.0,4219,89870.0,86,244,8,233.11,10467
BERTOLINIA,255161.0,1022,1529400.0,2108,31350.0,31,312,4,567.17,5501
BETANIA DO PIAUI,292438.0,1341,1866000.0,2875,7315.0,7,28,1,45.12,6205
BOA HORA,453186.0,1705,2064000.0,2962,6270.0,7,93,0,137.15,6781
BOCAINA,142083.0,684,970200.0,1474,71060.0,69,102,0,226.67,4500
BOM JESUS,773798.0,3762,6992400.0,9393,1095160.0,1048,1137,12,451.57,25179
BOM PRINCIPIO DO PIAUI,150967.0,1016,1709400.0,2590,47025.0,46,41,3,72.82,5630
BONFIM DO PIAUI,243402.0,1069,1613400.0,2475,82555.0,80,68,1,119.93,5670
BOQUEIRAO DO PIAUI,277694.0,1152,1752000.0,2561,54340.0,53,137,1,213.83,6407
BRASILEIRA,275915.0,1320,2185800.0,2977,101365.0,98,107,1,128.47,8329
BREJO DO PIAUI,263551.0,940,1164600.0,1747,3135.0,3,11,0,28.39,3875
BURITI DOS LOPES,973081.0,3659,5614200.0,7886,430540.25,413,717,12,362.47,19781
BURITI DOS MONTES,378106.0,1487,2064000.0,3141,41800.0,41,27,1,32.75,8244
CABECEIRAS DO PIAUI,466541.0,1796,2647800.0,3768,51205.0,50,207,4,195.54,10586
CAJAZEIRAS DO PIAUI,88035.0,450,792600.0,1191,11495.0,12,7,0,19.67,3559
CAJUEIRO DA PRAIA,134385.0,915,1810800.0,2746,81510.0,79,291,8,380.79,7642
CALDEIRAO GRANDE DO PIAUI,260384.0,1070,1536000.0,2324,33440.0,33,126,0,249.75,5045
CAMPINAS DO PIAUI,253671.0,1187,1566000.0,2309,17765.0,18,34,1,60.57,5613
CAMPO ALEGRE DO FIDALGO,282741.0,1190,1470600.0,2158,29260.0,29,13,1,22.51,5776
CAMPO GRANDE DO PIAUI,254303.0,1103,1699800.0,2494,39710.5,39,102,1,171.63,5943
CAMPO LARGO DO PIAUI,484463.0,1740,2113200.0,3081,40755.0,40,193,4,265.15,7279
CAMPO MAIOR,1028349.0,5874,11813400.0,16807,2259290.5,2163,2209,42,471.68,46833
CANAVIEIRA,190707.0,726,965400.0,1377,10450.0,10,4,0,10.13,3950
CANTO DO BURITI,752562.0,3921,5342400.0,7625,1004245.0,958,289,6,136.4,21187
CAPITAO DE CAMPOS,438144.0,1985,3202800.0,4712,166155.0,160,170,1,148.9,11417
CAPITAO GERVASIO OLIVEIRA,276643.0,1108,1341600.0,1963,34485.97,34,20,1,48.78,4100
CARACOL,581213.0,2093,2830200.0,4182,126445.0,122,162,3,148.41,10916
CARAUBAS DO PIAUI,193857.0,1169,1618800.0,2368,44935.0,44,160,3,272.67,5868
CARIDADE DO PIAUI,219853.0,1204,1695600.0,2432,29260.0,29,32,0,63.15,5067
CASTELO DO PIAUI,729100.0,3004,5085000.0,7388,725230.0,693,120,4,60.86,19716
CAXINGO,225072.0,973,1482600.0,2253,9405.0,10,106,0,195.43,5424
COCAL,971631.0,4898,7592400.0,11425,787930.0,755,684,16,246.16,27787
COCAL DE TELHA,225443.0,1021,1527600.0,2073,41800.0,41,80,3,163.57,4891
COCAL DOS ALVES,266465.0,1198,1790400.0,2794,25080.0,25,162,4,263.29,6153
COIVARAS,158691.0,745,1177800.0,1740,17765.0,18,101,1,251.24,4020
COLONIA DO GURGUEIA,310180.0,1374,2008200.0,2761,60610.0,59,47,2,72.49,6484
COLONIA DO PIAUI,296624.0,1409,2075400.0,2953,15675.0,16,56,1,73.15,7656
CONCEICAO DO CANINDE,214728.0,1018,1431000.0,2043,16720.0,17,17,1,35.39,4803
CORONEL JOSE DIAS,247113.0,976,1338600.0,1963,45980.0,45,24,1,51.26,4682
CORRENTE,726998.0,3662,6389400.0,9086,1530926.25,1465,297,3,111.47,26644
CRISTALANDIA DO PIAUI,340015.0,1308,1774200.0,2626,36575.0,36,11,0,13.26,8294
CRISTINO CASTRO,515088.0,1816,2830800.0,3990,335445.0,322,95,1,91.14,10423
CURIMATA,496530.0,1773,2746800.0,4166,465025.5,446,166,1,145.77,11388
CURRAIS,199643.0,941,1492800.0,2015,0.0,0,144,1,290.67,4954
CURRALINHOS,227431.0,830,1220400.0,1797,14630.0,15,160,0,360.12,4443
CURRAL NOVO DO PIAUI,234444.0,992,1431600.0,2146,12540.0,13,52,0,97.32,5343
DEMERVAL LOBAO,606542.0,2765,4377600.0,5832,238260.0,229,1002,3,725.19,13817
DIRCEU ARCOVERDE,349756.0,1227,1856400.0,2713,142120.0,137,92,1,131.22,7011
DOM EXPEDITO LOPES,165557.0,970,1696800.0,2564,41800.0,41,80,2,115.87,6904
DOMINGOS MOURAO,185884.0,791,1180800.0,1741,59565.0,58,15,0,34.44,4355
DOM INOCENCIO,402405.0,1956,2425800.0,3586,84645.0,82,55,1,57.56,9556
ELESBAO VELOSO,305435.0,1848,3154800.0,4660,457710.0,439,294,8,201.34,14602
ELISEU MARTINS,173412.0,739,1159200.0,1700,42845.0,42,16,2,32.55,4915
ESPERANTINA,1450426.0,6485,10930200.0,14855,1271765.0,1218,988,27,248.63,39737
FARTURA DO PIAUI,328961.0,1197,1579200.0,2314,21945.0,22,32,1,60.3,5307
FLORES DO PIAUI,192719.0,976,1204200.0,1752,20900.0,21,12,1,26.89,4463
FLORESTA DO PIAUI,103297.0,506,699600.0,1041,15675.0,16,59,2,230.65,2558
FLORIANO,625942.0,4298,12151800.0,16782,2417086.35,2305,2146,29,358.05,59935
