MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC
ACAUA,37.02865612648221,0.19282891022021456,254.43252399774138,0.3929983060417843,2.2127329192546585,0.002258610954263128,0.005364201016374929,0.0,53.64
AGRICOLANDIA,42.09534928974509,0.18057987935395992,285.1138353765324,0.4232340922358436,17.48783810079782,0.016929363689433742,0.010897061685152754,0.0,108.97
AGUA BRANCA,28.252196887025445,0.14163459881683993,248.18792717247717,0.3491470909195336,41.47349376830739,0.03974498880018379,0.05255298374590776,0.0020676583768881743,525.53
ALAGOINHA DO PIAUI,36.072539537315386,0.20219579139981703,267.10233956345576,0.3919749052411449,15.024179845771794,0.014507907463076722,0.012285975689452359,0.00013070186903672723,122.86
ALEGRETE DO PIAUI,37.49481180061038,0.17741607324516787,291.02746693794506,0.38942014242115974,8.929806714140387,0.008748728382502543,0.025025432349949136,0.0,250.25
ALTO LONGA,31.635346756152124,0.18099832214765102,250.58724832214764,0.3631851230425056,7.963157158836689,0.007690156599552573,0.010206935123042505,0.00034955257270693514,102.07
ALTOS,16.169356430757084,0.1046787089132366,246.26887770210246,0.34473398479913137,31.460369163952226,0.030105616424834666,0.032746027045701315,0.00046885796071463826,327.46
ALVORADA DO GURGUEIA,51.204465768591994,0.17715445654179737,265.0673556006643,0.39361505812880604,6.170880236205942,0.006089684443624285,0.007750507473703636,0.0003690717844620779,77.51
AMARANTE,47.19405614274349,0.1832026366632572,262.63211728605523,0.37214456188203204,39.90456926923514,0.03807250823957268,0.018070235254006136,0.00034094783498124785,180.7
ANGICAL DO PIAUI,45.259870359457864,0.2452857984678845,306.3641720683559,0.4192692987625221,25.86328815556865,0.024896876841484974,0.013847967000589274,0.00044195639363582795,138.48
ANISIO DE ABREU,26.27753036437247,0.17034412955465586,244.0080971659919,0.357085020242915,11.740384615384615,0.011336032388663968,0.009716599190283401,0.0,97.17
ANTONIO ALMEIDA,41.8365992414665,0.15992414664981036,235.71428571428572,0.35082174462705434,4.95417193426043,0.0050568900126422255,0.06605562579013906,0.0003160556257901391,660.56
AROAZES,46.026735218508996,0.18560411311053984,286.7866323907455,0.4003427592116538,5.730934018851757,0.005655526992287918,0.008911739502999142,0.0005141388174807198,89.12
AROEIRAS DO ITAIM,30.20109760878087,0.195609564876519,288.35750686005485,0.41081928655429245,0.8192865542924344,0.0011760094080752645,0.025872206977655823,0.0003920031360250882,258.72
ARRAIAL,38.877935265496085,0.18066426909244765,260.3342500528877,0.3854453141527396,4.200338481066216,0.0042310133276919825,0.0029617093293843877,0.0,29.62
ASSUNCAO DO PIAUI,34.39969411164925,0.1651797094060668,257.78740759622735,0.3919194494009686,3.0634081060412948,0.0030588835075197555,0.016186591893958706,0.0001274534794799898,161.87
AVELINO LOPES,57.59048631411108,0.22384622198600407,295.615200637789,0.4386570998316946,20.364957037824432,0.019576578970679423,0.0025688723536185665,0.00026574541589157585,25.69
BAIXA GRANDE DO RIBEIRO,39.28914206801312,0.16658035560158813,278.1460383221129,0.3505092352839634,3.156827205247713,0.0031071983428275505,0.09476954945624029,0.0007767995857068876,947.7
BARRA D'ALCANTARA,49.192609465957986,0.2105796001012402,278.2080485952923,0.40572007086813466,5.289800050620096,0.005315110098709187,0.002531004808909137,0.0002531004808909137,25.31
BARRAS,51.50917860026346,0.19774359410189946,298.02405133217184,0.4058768537797986,32.527195852632474,0.03114774996812986,0.053414354310967575,0.001126078273063358,534.14
BARREIRAS DO PIAUI,59.50925925925926,0.22939068100358423,308.9605734767025,0.43608124253285546,9.98805256869773,0.00985663082437276,0.007765830346475508,0.0,77.66
BARRO DURO,29.575511945392492,0.1995164960182025,280.3754266211604,0.3656143344709898,15.752275312855518,0.015073947667804323,0.05674061433447099,0.0008532423208191126,567.41
BATALHA,43.62222139479465,0.1788732918792121,264.2439587444614,0.382842461927989,19.06579290315374,0.018244777897754777,0.014893696243065123,0.00029787392486130244,148.94
BELA VISTA DO PIAUI,34.70336239103362,0.16861768368617683,260.47322540473226,0.4176836861768369,1.5616438356164384,0.0017434620174346202,0.00797011207970112,0.0,79.7
BELEM DO PIAUI,40.87661245092541,0.19321368480089737,268.3679192372406,0.391755468311834,5.567863151991026,0.005608524957936063,0.025518788558609087,0.0005608524957936063,255.19
BENEDITINOS,47.271615553644786,0.18343364860991687,267.12525078819147,0.40307633514856217,8.586032291965225,0.00821629884398586,0.023311359510843604,0.000764306869207987,233.11
BERTOLINIA,46.38447554990002,0.18578440283584802,278.02217778585714,0.3832030539901836,5.698963824759135,0.005635339029267406,0.056716960552626795,0.0007271405199054717,567.17
BETANIA DO PIAUI,47.129411764705885,0.216116035455278,300.7252215954875,0.46333601933924257,1.1788879935535859,0.0011281224818694602,0.004512489927477841,0.00016116035455278002,45.12
BOA HORA,66.8317357321929,0.25143784102639727,304.3798849727179,0.43680873027577055,0.924642383129332,0.0010322961215160006,0.013714791328712578,0.0,137.15
BOCAINA,31.574,0.152,215.6,0.32755555555555554,15.79111111111111,0.015333333333333332,0.02266666666666667,0.0,226.67
