Dias,Confirmados,Óbitos,Novos por Dia,Óbitos por dia,Semana,Conf/Semana,Obt/Semana,Novos/Semana,,Novos/Dia,Óbitos/Dia
18/03,0,,0,,Semana 12,4,0,4,,897,24
19/03,3,,3,,Semana 13,11,1,7,,,
20/03,4,,1,,Semana 14,24,4,13,,,
21/03,4,,0,,Semana 15,47,7,23,,,
22/03,6,,2,,Semana 16,144,10,97,,,
23/03,6,,0,,Semana 17,331,18,187,,,
24/03,8,,2,,Semana 18,742,28,411,,,
25/03,8,,0,,Semana 19,1278,42,536,,,
26/03,9,,1,,Semana 20,2252,72,974,,,
27/03,9,0,0,0,Semana 21,3390,107,1138,,,
28/03,11,1,2,1,Semana 22,4931,161,1541,,,
29/03,16,3,5,2,Semana 23,7478,239,2547,,,
30/03,18,4,2,1,Semana 24,10153,360,2675,,,
31/03,18,4,0,0,Semana 25,14264,485,4111,,,
01/04,19,4,1,0,Semana 26,18665,592,4401,,,
02/04,19,4,0,0,Semana 27,26079,784,7414,,,
03/04,22,4,3,0,Semana 28,28411,858,2332,,,
04/04,24,4,2,0,,,,,,,
05/04,24,4,0,0,,,,,,,
06/04,26,4,2,0,,,,,,,
07/04,31,5,5,1,,,,,,,
08/04,38,6,7,1,,,,,,,
09/04,40,7,2,1,,,,,,,
10/04,41,7,1,0,,,,,,,
11/04,47,7,6,0,,,,,,,
12/04,51,7,4,0,,,,,,,
13/04,58,8,7,1,,,,,,,
14/04,75,8,17,0,,,,,,,
15/04,91,8,16,0,,,,,,,
16/04,102,8,11,0,,,,,,,
17/04,123,9,21,1,,,,,,,
18/04,144,10,21,1,,,,,,,
19/04,158,12,14,2,,,,,,,
20/04,186,14,28,2,,,,,,,
21/04,206,15,20,1,,,,,,,
22/04,217,15,11,0,,,,,,,
23/04,263,16,46,1,,,,,,,
24/04,297,17,34,1,,,,,,,
25/04,331,18,34,1,,,,,,,
26/04,364,20,33,2,,,,,,,
27/04,408,21,44,1,,,,,,,
28/04,454,24,46,3,,,,,,,
29/04,513,24,59,0,,,,,,,
30/04,600,24,87,0,,,,,,,
01/05,665,26,65,2,,,,,,,
02/05,742,28,77,2,,,,,,,
03/05,784,28,42,0,,,,,,,
04/05,875,29,91,1,,,,,,,
05/05,949,30,74,1,,,,,,,
06/05,1051,35,102,5,,,,,,,
07/05,1131,37,80,2,,,,,,,
08/05,1233,38,102,1,,,,,,,
09/05,1278,42,45,4,,,,,,,
10/05,1332,45,54,3,,,,,,,
11/05,1443,49,111,4,,,,,,,
12/05,1612,57,169,8,,,,,,,
13/05,1784,60,172,3,,,,,,,
14/05,1905,60,121,0,,,,,,,
15/05,2085,65,180,5,,,,,,,
16/05,2252,72,167,7,,,,,,,
17/05,2287,80,35,8,,,,,,,
18/05,2440,85,153,5,,,,,,,
19/05,2637,87,197,2,,,,,,,
20/05,2852,91,215,4,,,,,,,
21/05,3074,93,222,2,,,,,,,
22/05,3258,99,184,6,,,,,,,
23/05,3390,107,132,8,,,,,,,
24/05,3550,110,160,3,,,,,,,
25/05,3720,119,170,9,,,,,,,
26/05,3966,134,246,15,,,,,,,
27/05,4243,138,277,4,,,,,,,
28/05,4503,146,260,8,,,,,,,
29/05,4745,157,242,11,,,,,,,
30/05,4931,161,186,4,,,,,,,
31/05,5119,168,188,7,,,,,,,
01/06,5506,180,387,12,,,,,,,
02/06,5828,192,322,12,,,,,,,
03/06,6064,202,236,10,,,,,,,
04/06,6717,217,653,15,,,,,,,
05/06,7105,224,388,7,,,,,,,
06/06,7478,239,373,15,,,,,,,
07/06,7621,254,143,15,,,,,,,
08/06,7927,265,306,11,,,,,,,
09/06,8359,283,432,18,,,,,,,
10/06,8823,299,464,16,,,,,,,
11/06,9337,317,514,18,,,,,,,
12/06,9825,335,488,18,,,,,,,
13/06,10153,360,328,25,,,,,,,
14/06,10357,374,204,14,,,,,,,
15/06,10881,393,524,19,,,,,,,
16/06,11559,398,678,5,,,,,,,
17/06,12099,421,540,23,,,,,,,
18/06,12567,435,468,14,,,,,,,
19/06,13813,459,1246,24,,,,,,,
20/06,14264,485,451,27,,,,,,,
21/06,14476,502,212,17,,,,,,,
22/06,15269,517,793,15,,,,,,,
23/06,16227,534,958,17,,,,,,,
24/06,17080,546,853,12,,,,,,,
25/06,18023,574,943,28,,,,,,,
26/06,18665,592,642,18,,,,,,,
27/06,19158,615,493,23,,,,,,,
28/06,19753,643,595,28,,,,,,,
29/06,20422,663,669,20,,,,,,,
30/06,22059,686,1637,23,,,,,,,
01/07,23307,697,1248,11,,,,,,,
02/07,24376,726,1069,29,,,,,,,
03/07,25561,762,1185,36,,,,,,,
04/07,26079,784,518,22,,,,,,,
05/07,26511,809,432,25,,,,,,,
06/07,27514,834,1003,25,,,,,,,
07/07,28411,858,897,24,,,,,,,
